B11,B12,B2,B3,B4,B8,NDBI,NDVI,NDWI,texture,class
1191.0,1141.5,1707.0,1924.5,1684.0,1406.5,-0.08296439,-0.0897913,0.15550886,81.49262153,1
4234.5,3416.666667,1858.5,2212.8,2543.0,3712.0,0.065752216,0.18689048,-0.25303808,6998.219618,2
4955.0,4171.25,2038.5,2383.333333,2767.0,3882.5,0.12135785,0.16775697,-0.23926054,3881.778646,2
5606.5,5623.0,3654.0,4150.0,4652.0,4958.0,0.061384827,0.031841833,-0.08871322,48958.41146,5
1613.0,1495.5,1882.0,2142.0,1805.0,1623.0,-0.003090235,-0.05309218,0.1378486,26903.94054,1
3216.0,2968.0,2063.0,2204.0,2269.0,2884.0,0.05442623,0.11934795,-0.1336478,109454.296,3
3060.0,2933.0,2666.0,2810.0,2960.0,3036.0,0.003937008,0.012675117,-0.038658913,149365.6046,3
4549.0,4186.0,2740.0,3082.0,3396.0,3800.0,0.089711346,0.0561423,-0.10433014,15540.44531,5
2599.0,1788.0,1378.0,1532.0,1403.0,3698.0,-0.17452756,0.44991177,-0.41414914,20773.7678,0
5318.5,4871.0,2744.0,3122.0,3514.0,3887.0,0.15550487,0.050398596,-0.10914539,83387.00738,5
5215.0,4743.0,2211.0,2781.0,3302.0,4160.0,0.11253333,0.114982575,-0.19867454,15285.06207,5
6576.0,6295.0,2930.0,3756.0,4652.0,5368.0,0.101138644,0.07145709,-0.1766769,1985.963108,5
2031.0,2185.0,1634.0,1661.0,1657.0,1680.0,0.09458367,0.006892419,-0.00568692,3879.864583,4
4594.0,3852.5,1826.6,2232.666667,2798.333333,3615.333333,0.1192139,0.12738423,-0.2364341,20480.74175,2
1291.5,1227.0,1596.0,1655.0,1495.5,1425.0,-0.04914412,-0.024139702,0.07467532,111.9674479,1
2530.5,1746.5,1323.375,1531.0,1402.5,3439.0,-0.1521903,0.4206341,-0.3839034,17860.48568,0
2826.0,2302.0,1849.0,2058.0,2064.0,3190.0,-0.06050532,0.21431291,-0.21570122,44755.5204,3
2849.0,1955.0,1675.0,2068.0,1941.0,4400.0,-0.21396054,0.38779372,-0.3605442,90455.81033,0
1197.0,1142.5,1733.0,1980.5,1709.5,1400.0,-0.07816712,-0.099533685,0.17172016,68.49826389,1
3155.0,2091.0,1532.0,1812.0,1701.0,3988.0,-0.116617665,0.40200385,-0.3751724,69239.102,0
3239.0,2294.0,1660.0,1867.0,1917.75,4132.0,-0.12115046,0.36600685,-0.37756294,70738.62153,0
2708.0,1862.0,1506.0,1675.0,1689.0,3535.0,-0.13246836,0.35336906,-0.35700575,25818.53125,0
5183.0,4310.5,2260.0,2677.333333,3212.0,4354.25,0.08689612,0.15096647,-0.2384835,49043.80035,2
3875.5,3073.5,1832.25,2204.5,2481.5,4140.0,-0.032998566,0.25047195,-0.3050674,28887.53863,2
3704.0,2868.0,1748.0,1972.0,2456.0,3880.0,-0.023206752,0.22474748,-0.32604238,32610.14844,0
3199.75,2504.0,1648.666667,1832.5,2021.333333,3179.0,0.003252988,0.22261393,-0.26868203,73781.80599,2
3129.5,2317.0,1376.5,1546.5,1620.0,3302.5,-0.026896765,0.34179786,-0.3621365,12267.05035,0
4628.0,4636.0,3030.0,3266.0,3476.0,3678.0,0.11437515,0.028235951,-0.059331797,52865.56901,3
1208.5,1150.5,1736.5,1962.0,1690.5,1375.0,-0.064447455,-0.102919586,0.17590651,80.63454861,1
4061.0,3162.0,1849.333333,2158.0,2434.0,4020.0,0.005073629,0.24573907,-0.30139205,89236.53429,2
1902.0,2061.0,1568.0,1564.0,1558.0,1623.0,0.07914893,0.020433826,-0.018512707,2411.583767,4
4613.0,4126.0,2642.0,2918.0,3280.0,3569.0,0.12759717,0.042195942,-0.10035455,25295.13498,5
1416.0,1317.0,1592.0,1656.0,1531.0,1506.0,-0.030800821,-0.008231808,0.04743833,95393.50955,1
1264.5,1187.0,1454.0,1479.5,1309.5,1308.0,-0.016909622,-0.000573,0.061524663,67.64670139,1
3701.0,3149.0,1774.0,2042.0,2330.0,3822.0,-0.01608401,0.24252276,-0.30354705,20870.55556,2
3556.5,2426.5,1930.5,1937.0,1890.0,1903.0,0.30286655,0.003427366,0.008854167,2016.139323,1
3020.0,2163.0,1472.0,1640.0,1670.25,3342.0,-0.050613016,0.33353284,-0.34162986,25852.58594,0
4993.5,3873.5,1864.0,2140.0,2464.0,3950.0,0.11667692,0.23168069,-0.29720855,2945.740017,2
1160.0,1122.0,1636.0,1838.0,1521.0,1221.0,-0.025619488,-0.10940919,0.2016999,81.52039931,1
3686.0,3094.5,2548.0,2843.0,3208.0,3530.5,0.02154784,0.047859315,-0.107868515,120520.6897,5
3488.0,2765.5,1715.5,2089.0,2075.0,3962.0,-0.06362416,0.31257248,-0.30953562,13907.47873,2
3421.0,3532.0,2340.0,2444.0,2556.0,2866.0,0.0882774,0.057174474,-0.07947269,54771.43316,3
1209.0,1150.0,1708.0,1872.0,1674.0,1380.0,-0.06604867,-0.09626719,0.15129152,128.0039063,1
2375.8,1712.0,1366.666667,1458.0,1461.0,2702.0,-0.06424042,0.29810232,-0.29903847,55518.25564,0
5139.0,4446.0,2532.0,2962.0,3448.0,3859.0,0.14225383,0.056247436,-0.13150564,24291.55295,5
1152.0,1112.0,1406.0,1538.0,1342.0,1196.0,-0.018739352,-0.057525612,0.12509145,152.0147569,1
2535.75,1835.0,1346.0,1470.0,1392.0,3124.0,-0.10393569,0.38352525,-0.36003482,14033.01823,0
3553.0,2643.0,1915.0,1963.0,2031.0,2562.5,0.1619655,0.11570698,-0.13247155,59878.14714,3
1204.0,1154.0,1620.0,1860.0,1566.0,1323.0,-0.047091413,-0.08411215,0.16870877,273.9574653,1
4568.75,3638.0,2051.0,2356.0,2758.0,3844.0,0.086149,0.1644956,-0.24,16468.53819,2
6135.5,5885.5,2893.0,3638.0,4542.0,5212.0,0.08138356,0.06868977,-0.17785311,3175.011285,5
4061.0,3162.0,1723.2,1996.0,2171.0,3627.0,0.05645161,0.25112107,-0.2900587,89668.97266,2
3350.0,3105.75,2199.0,2402.666667,2645.0,3165.5,0.02831709,0.08957921,-0.13699901,44566.41623,3
4554.0,4331.0,2552.0,2884.0,3192.0,3546.0,0.12444445,0.052537844,-0.1029549,33890.53299,5
5516.0,4919.0,2686.0,3026.0,3524.0,4008.0,0.15833683,0.064259164,-0.13960762,16259.28559,5
4066.0,3906.0,2512.0,2688.0,2882.0,3156.0,0.12600388,0.045379266,-0.08008213,21566.06771,5
5079.5,4283.5,2571.0,3000.0,3609.0,4009.0,0.117786214,0.052507218,-0.14395776,43828.10417,5
2612.666667,1894.333333,1404.0,1571.4,1488.75,3379.5,-0.12797263,0.38838392,-0.36520633,23308.10156,0
5170.5,4551.0,3185.0,3467.0,3832.0,4201.5,0.103393085,0.045994896,-0.095781446,40179.73785,5
2933.2,1999.125,1595.5,1811.666667,1805.5,4104.0,-0.16637298,0.38895,-0.3875021,74655.89019,0
4429.0,3875.5,2497.0,2791.0,3206.0,3493.0,0.118151985,0.042842217,-0.111712284,28813.65104,5
2670.0,2602.0,1849.0,1919.0,2001.0,2338.0,0.06629393,0.07766767,-0.09842612,33999.16623,3
4222.0,3685.0,2440.0,2716.0,3056.0,3413.0,0.1059594,0.05518627,-0.113721654,38141.78212,5
5182.0,4270.0,3030.0,3466.0,3968.0,4371.0,0.0848948,0.048327137,-0.11547786,61462.58116,5
4959.0,4166.25,1816.5,2192.0,2783.5,4074.666667,0.09789307,0.18826702,-0.30042553,2473.62717,2
5108.0,4337.5,2708.0,3091.0,3438.0,3678.0,0.16275893,0.03372681,-0.086718865,232642.503,5
4665.8,3819.666667,1898.75,2250.5,2637.25,3944.0,0.0838347,0.19855651,-0.27338767,15289.4553,2
6173.0,5209.0,2914.0,3410.0,3988.0,4388.0,0.16901809,0.04775549,-0.12541677,62445.68056,5
2974.0,2740.5,1958.5,2148.0,2074.0,3195.0,-0.035824284,0.21275385,-0.19595733,71761.89106,3
3452.5,2696.5,1719.0,2006.0,2194.0,3532.428571,-0.011443005,0.23372833,-0.2756068,15492.37413,2
3506.5,3023.5,1729.75,1991.0,2229.0,3628.0,-0.017029924,0.23885949,-0.291333,21424.35026,2
1210.0,1160.0,1713.0,1895.0,1683.0,1405.5,-0.074746706,-0.08984944,0.14831086,118.1063368,1
1196.0,1148.0,1606.0,1814.0,1440.0,1267.0,-0.028826633,-0.06390838,0.17753977,7208.798177,1
2532.0,1861.0,1377.5,1528.0,1450.0,3322.5,-0.13502434,0.392352,-0.36996186,24095.19054,0
4996.0,4087.5,1858.0,2174.0,2635.0,3881.0,0.1256055,0.19122161,-0.28191578,5006.347222,2
2392.333333,1662.0,1345.0,1481.0,1368.0,3208.0,-0.1456461,0.4020979,-0.3683088,19198.16189,0
3539.0,3499.0,2448.0,2672.0,2860.0,3026.0,0.07814166,0.028202515,-0.06212706,47239.44271,3
1307.0,1240.0,1556.0,1632.0,1470.0,1392.0,-0.031493146,-0.027253669,0.07936508,105.7751736,1
5117.5,4308.5,3026.0,3439.0,4020.0,4488.0,0.065535374,0.05500705,-0.13233253,96010.07682,5
1168.0,1133.0,1587.0,1841.5,1503.0,1214.5,-0.019517314,-0.106163755,0.20517015,90.41753472,1
4644.0,4196.333333,1946.125,2321.0,2770.5,3494.0,0.14131236,0.11549206,-0.20171969,6695.382378,2
4404.5,3622.166667,1891.0,2341.0,2674.0,3484.0,0.11668885,0.13153622,-0.19622317,16063.01476,2
4281.0,3652.5,1940.0,2354.75,2711.333333,3755.0,0.06545545,0.16140006,-0.22918287,5818.914931,2
3617.5,2682.0,2010.5,2022.0,1997.0,2557.0,0.17175479,0.122968815,-0.11683774,14009.09505,3
3705.0,3311.5,2187.0,2446.0,2699.0,3012.5,0.103088945,0.054889258,-0.10378309,48319.87891,5
2373.8,1656.0,1362.0,1489.5,1416.0,2963.333333,-0.1104588,0.35332623,-0.33098775,52980.92448,0
2824.0,2601.0,2408.0,2652.0,2702.0,2910.0,-0.014998256,0.037063435,-0.046386193,37926.71571,3
2537.0,1803.0,1542.0,1730.0,1667.5,3462.0,-0.15419236,0.34983915,-0.33359015,99461.88151,0
3609.75,2935.5,1551.916667,1793.0,1914.0,3387.333333,0.031787053,0.2779175,-0.30776656,41911.62847,2
1201.0,1143.5,1690.5,1867.0,1677.0,1395.0,-0.07473035,-0.091796875,0.1446965,129.2743056,1
3300.0,3256.0,1957.0,2130.0,2269.0,2884.0,0.067270376,0.11934795,-0.15037894,40992.24045,3
3595.0,2751.166667,1675.5,1980.833333,2105.0,3562.0,0.004610871,0.25710252,-0.28526324,21709.54427,2
3893.666667,3289.75,1802.0,2138.0,2411.6,3522.0,0.050119117,0.18713766,-0.24452297,38939.36806,2
2196.0,1923.0,1834.0,1963.0,1868.0,2212.0,-0.003629764,0.08431373,-0.059640717,106292.1432,3
3181.5,2196.5,1708.0,1956.625,1979.0,4120.0,-0.12853523,0.35104117,-0.3560159,70164.76432,0
2502.25,1852.5,1326.666667,1459.25,1406.5,3065.0,-0.10108222,0.37090462,-0.35492072,17351.73307,0
4138.0,3307.5,1735.416667,2008.166667,2234.666667,3681.0,0.058447372,0.24449202,-0.2940384,13409.10937,2
2760.0,1931.0,1552.0,1776.0,1754.0,3730.0,-0.1494607,0.36032093,-0.35488558,79115.375,0
2976.75,2187.5,1460.0,1618.0,1678.5,3314.5,-0.053685676,0.3276587,-0.34394324,27189.66927,0
3047.0,2084.0,1626.75,1900.0,1818.0,3993.0,-0.134375,0.37429014,-0.35516715,41831.42535,0
5066.0,4016.0,2660.0,3196.0,3802.0,4312.0,0.08040094,0.06285433,-0.14864145,39639.27431,5
3803.0,2954.0,1736.0,1848.0,2034.0,2804.0,0.15120327,0.15915668,-0.20550302,12042.72483,3
3883.0,3659.0,2584.0,2802.0,2964.0,3275.0,0.08493993,0.049847733,-0.07783446,31974.57118,5
1232.0,1161.0,1632.0,1822.0,1559.0,1307.0,-0.029539188,-0.08792742,0.16458933,17422.6875,1
2623.0,1793.0,1428.0,1604.0,1598.0,3418.0,-0.13160072,0.36283892,-0.36121067,56730.47222,0
4292.5,3540.0,2528.0,2894.0,3186.0,3535.0,0.09677419,0.051926795,-0.09970447,28209.65104,5
3727.0,3514.5,2473.0,2608.0,2839.0,3192.0,0.07732331,0.058530923,-0.10068966,65818.23568,3
3807.166667,2918.285714,1759.416667,2038.5,2242.0,3486.440476,0.043973602,0.21723896,-0.2620735,35491.20095,2
1213.0,1174.0,1739.0,1948.0,1688.0,1377.0,-0.063320465,-0.10146819,0.17172933,74.15104167,1
4616.75,3652.25,1866.0,2226.0,2679.0,3940.0,0.079089604,0.19051217,-0.277976,16188.64366,2
5332.0,4888.5,2277.0,2794.0,3316.0,4280.0,0.109446526,0.1269089,-0.21006502,23241.76606,5
4550.0,4116.5,2910.0,3175.0,3448.0,3825.0,0.08656716,0.051835556,-0.092857145,57458.47179,5
4956.0,5097.5,3053.0,3296.0,3471.0,3419.0,0.18352239,-0.00754717,-0.0183172,336451.2101,3
1166.0,1137.0,1593.0,1835.0,1482.0,1238.0,-0.029950082,-0.089705884,0.1942727,42.49305556,1
4421.5,4292.5,2619.0,2886.0,3180.0,3487.0,0.118164,0.0460477,-0.09430409,53226.12196,5
2253.0,2307.0,1877.5,1952.5,2004.5,2038.0,0.05010487,0.008286951,-0.021425886,7560.681858,4
2590.5,1744.166667,1477.25,1760.775,1601.25,4045.375,-0.21924388,0.43284705,-0.39347932,82622.5204,0
3534.0,3449.0,2426.0,2620.0,2744.0,2909.0,0.0970045,0.029188043,-0.05226985,9446.441406,5
4277.666667,3466.5,1753.333333,1994.333333,2276.0,3512.5,0.098222114,0.2136132,-0.27568778,37247.75868,2
3148.0,2856.0,2028.0,2200.0,2300.0,2916.0,0.038258575,0.11809816,-0.13995309,47027.59679,3
4323.0,3787.0,2506.0,2786.0,2998.0,3282.0,0.13688363,0.04522293,-0.081740275,111243.253,5
2503.285714,1770.0,1404.5,1557.833333,1476.666667,3210.75,-0.12381167,0.36994436,-0.34662637,32913.72352,0
1408.0,1334.0,1705.0,1866.5,1561.0,1410.5,-0.000887,-0.05064782,0.13915166,9115.505208,1
3942.5,3520.5,2180.0,2450.0,2723.0,3013.0,0.13363525,0.05055788,-0.10305693,42044.58854,5
2711.0,1879.666667,1674.0,1836.0,1871.0,3557.333333,-0.13501728,0.31065398,-0.31915945,57576.22222,0
1285.5,1219.5,1567.0,1609.0,1474.5,1381.0,-0.03581474,-0.032743827,0.07625418,80.91970486,1
2448.0,2485.0,1930.0,1974.0,1976.0,2027.0,0.09407821,0.012740444,-0.013246688,9449.182292,4
1205.5,1152.5,1726.5,1911.0,1670.5,1401.0,-0.07500479,-0.08774214,0.1539855,60.25,1
3224.0,2852.0,2202.0,2318.0,2468.0,2598.0,0.10752319,0.025661271,-0.056956876,4911.705295,5
2418.5,1690.5,1394.75,1610.0,1510.75,3351.0,-0.16162579,0.37851596,-0.3509373,45493.36285,0
3257.0,2847.0,1707.0,1970.0,2122.0,3364.0,-0.0161607,0.22639446,-0.26134235,4469.9375,2
2868.0,2565.0,1621.0,1746.0,1730.0,2552.0,0.05830258,0.19196637,-0.18752909,16021.77431,3
4334.5,3605.5,2649.0,2814.0,3074.0,3327.0,0.13150166,0.039525073,-0.083536886,33029.43012,5
3620.5,2714.5,1889.0,1928.0,1928.5,2500.0,0.18307328,0.12905046,-0.12917796,39463.9184,3
5043.5,4994.0,3061.0,3461.0,3988.0,4346.5,0.0742279,0.04301398,-0.11341659,24011.78516,5
3199.5,2473.0,1658.0,1869.5,2062.0,3682.0,-0.07011553,0.2820334,-0.32648835,57860.97049,2
1206.5,1157.0,1739.0,1942.0,1700.0,1409.5,-0.07759939,-0.09342338,0.15888408,142.1631944,1
1250.0,1173.5,1435.0,1467.5,1318.0,1277.0,-0.010684607,-0.015799616,0.06941155,34.40104167,1
5256.0,4376.5,2781.0,3220.0,3599.0,4005.0,0.1350826,0.05339295,-0.10865052,167593.4996,5
3608.5,2446.5,1947.5,1945.0,1891.0,1984.0,0.29047832,0.024,-0.00992619,3958.00217,1
1193.5,1134.5,1713.0,1955.0,1702.5,1404.5,-0.08121632,-0.09591246,0.16386367,71.76692708,1
2634.333333,1823.0,1374.0,1510.5,1436.0,2938.0,-0.054495424,0.3433928,-0.3208947,17974.20139,0
2538.0,1821.0,1426.5,1508.333333,1512.0,2995.0,-0.08259533,0.32904372,-0.33012584,24675.18446,0
3141.5,2064.0,1632.0,1866.5,1796.5,4015.0,-0.12205687,0.3817431,-0.36529797,33771.00391,0
5500.5,5089.0,2420.0,3003.0,3709.0,4566.0,0.09283266,0.103564955,-0.2065002,32983.19227,5
3444.0,3293.0,2146.0,2320.0,2502.0,2992.0,0.070229955,0.0891882,-0.12650603,70596.82465,3
4214.5,3662.0,2528.0,2841.0,3125.0,3444.0,0.10060717,0.048561424,-0.09594272,36651.78863,5
4567.5,3847.5,1956.5,2411.0,2867.0,3963.5,0.07080061,0.16052997,-0.24354851,9489.285156,2
3733.0,3241.0,1796.75,2103.0,2375.0,4065.0,-0.04257502,0.26242235,-0.3180934,23305.36892,2
1883.0,1979.0,1513.5,1536.0,1564.0,1619.0,0.075385496,0.017279297,-0.026307449,1615.81684,4
4297.5,3524.5,2670.0,3016.0,3409.0,3793.0,0.062357087,0.053318523,-0.11411367,35009.6224,5
3821.0,3289.0,2420.0,2794.0,3010.0,3180.0,0.09155835,0.02746365,-0.06461333,53288.16319,5
5363.5,4720.0,2301.0,2817.0,3347.0,4426.0,0.095765874,0.13881384,-0.22214551,18369.05469,5
4831.1,3940.75,1757.5,2081.0,2566.666667,3940.0,0.101595014,0.21106558,-0.3087527,1141.809028,2
1243.5,1176.5,1943.0,2135.0,1514.5,1320.5,-0.0300312,-0.068430334,0.23571119,125.078559,1
3996.5,3566.5,2502.0,2669.0,2858.0,3133.0,0.12111649,0.045902185,-0.07997242,19250.34592,5
3550.5,2667.0,1906.0,1950.5,1987.0,2541.5,0.16562705,0.12244672,-0.13156722,15551.53689,3
1216.0,1165.0,1476.0,1570.0,1401.0,1298.0,-0.03261734,-0.038162284,0.09483961,10132.93186,1
3919.0,3279.0,2412.0,2640.0,2896.0,3164.0,0.10659325,0.044224422,-0.09028257,34279.89714,4
1230.0,1180.0,1864.0,2080.0,1443.0,1277.0,-0.018747507,-0.06102941,0.23920166,105.5199653,1
2378.0,1674.0,1308.4,1434.0,1357.0,2913.0,-0.1011151,0.3644028,-0.34023464,16911.07899,0
2952.0,2753.0,2242.0,2456.0,2600.0,2825.0,0.021983728,0.041474655,-0.06987313,43611.87717,4
3403.0,3071.0,2770.0,2956.0,2982.0,3592.0,-0.0270193,0.09278978,-0.0971289,54920.20443,3
3440.0,2817.5,1717.0,1987.333333,2314.0,3308.5,0.01948581,0.17687862,-0.24947286,3107.010851,2
4744.0,3873.0,2867.0,3278.0,3719.0,4170.0,0.06439309,0.057168208,-0.119763695,88565.50521,5
2597.5,1828.2,1369.333333,1563.0,1465.5,3330.0,-0.12357655,0.388802,-0.36112815,23507.10373,0
2763.5,2033.0,1552.0,1704.0,1641.0,3420.0,-0.10616965,0.35151157,-0.33489463,34891.39236,0
1550.0,1485.0,1991.0,2454.0,2893.0,2302.5,-0.19532771,-0.11365605,0.03185115,4773.91059,1
6492.5,5807.5,3365.0,3998.0,4738.0,5506.0,0.08221861,0.074970715,-0.15867004,57011.61849,5
3902.5,3577.0,2231.0,2426.0,2661.0,2927.0,0.14283623,0.047602005,-0.093592376,54690.64583,5
3912.125,3268.8,1812.8,2129.0,2392.0,3583.5,0.04384224,0.19939753,-0.25461707,9775.376302,2
3929.333333,3030.571429,1699.75,1931.5,2113.0,3656.5,0.035966165,0.26752752,-0.3086972,48222.95443,2
2620.0,1972.0,1363.0,1475.333333,1483.0,2858.666667,-0.04356291,0.3168522,-0.31918165,16400.43576,0
2792.0,1987.5,1363.0,1476.75,1451.0,3017.0,-0.038733,0.3504924,-0.34275383,25147.55078,0
4499.0,4136.0,2714.0,2900.0,3148.0,3464.0,0.12997614,0.047791895,-0.08862351,34613.26563,5
3828.0,3739.0,2662.0,2920.0,3066.0,3096.0,0.10571924,0.004868549,-0.02925532,181061.9358,3
1946.5,2046.5,1574.0,1577.0,1598.5,1624.0,0.090323485,0.007913111,-0.014682911,2898.172309,4
4649.5,4067.5,2003.333333,2365.0,2737.0,3886.0,0.08944994,0.17348634,-0.24332108,6907.135417,2
2437.0,1678.0,1413.666667,1592.0,1468.0,3308.0,-0.15161009,0.38525963,-0.35020408,40251.41884,0
4169.0,3668.0,1732.0,1987.75,2244.0,3565.5,0.078027025,0.22747225,-0.2841129,46510.47569,2
1571.0,1487.0,2026.0,2509.0,2943.0,2358.0,-0.20030542,-0.11035654,0.031025272,9921.992622,1
3879.5,3172.0,1776.166667,2047.166667,2255.0,3759.0,0.015775349,0.25008315,-0.2948302,36155.24957,2
3376.5,2490.0,1912.0,1923.0,1893.5,2438.0,0.16140683,0.12570703,-0.11809218,10087.92839,3
3587.0,2896.0,1613.0,1810.0,1954.0,3093.0,0.07395209,0.22567862,-0.26167652,103062.5265,2
3925.5,3462.5,2340.0,2602.0,2892.0,3203.0,0.10135372,0.05102543,-0.103531435,6389.210503,5
4456.0,4042.5,2483.0,2736.0,3015.0,3359.0,0.14037108,0.05396925,-0.10221493,15306.2526,5
3376.0,2564.0,1692.0,1928.0,2079.5,3693.0,-0.044843685,0.27951494,-0.31400105,123547.1671,2
