class_name,CNN-15,CNN-9,Random Forest
Water,171.671,148.498,118.505
Agriculture,"3,589.65","3,583.421","3,818.456"
Settlement,398.897,382.136,397.865
Mining,43.421,37.295,27.029
Barren / Scrub,279.05,362.048,330.301
Forest,"1,303.724","1,273.014","1,094.256"
Total,"5,786.412","5,786.412","5,786.412"
